arazo		konponketa eskatzen duen eragozpen edo zailtasun egoera	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	narrower
arazo		konponketa eskatzen duen eragozpen edo zailtasun egoera	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	none
arazo		konponketa eskatzen duen eragozpen edo zailtasun egoera	iskanbila, zarata	none
arazo		askabide edo erantzuna eskatzen duen gaia	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	exact
arazo		askabide edo erantzuna eskatzen duen gaia	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	none
arazo		askabide edo erantzuna eskatzen duen gaia	iskanbila, zarata	none
arazo		zerbait lortzeko zailtasunaren iturria	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	none
arazo		zerbait lortzeko zailtasunaren iturria	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	related
arazo		zerbait lortzeko zailtasunaren iturria	iskanbila, zarata	none
arazo		edozein eratako eragozpen edo neke agertzen dituen egitekoa	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	narrower
arazo		edozein eratako eragozpen edo neke agertzen dituen egitekoa	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	none
arazo		edozein eratako eragozpen edo neke agertzen dituen egitekoa	iskanbila, zarata	none
arazo		mina edo atsekabea eragiten duen gertaera	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	none
arazo		mina edo atsekabea eragiten duen gertaera	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	none
arazo		mina edo atsekabea eragiten duen gertaera	iskanbila, zarata	none
arazo		zerbaitek eskatzen duen ardura	askabide edo erantzuna eskatzen duen gaia; erabakitzeko edo konpontzeko edozein eratako eragozpenak agertzen dituen egitekoa	none
arazo		zerbaitek eskatzen duen ardura	zerbaitek eskatzen duen ardura; zerbaitek ematen duen nekea, eragiten duen kezka	narrower
arazo		zerbaitek eskatzen duen ardura	iskanbila, zarata	none
banku		odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	none
banku		odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	none
banku		odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	banketxea	none
banku		odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	exact
banku		joko-etxe baten edo jokalari baten fondoa diru-joko batzuetan	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	none
banku		joko-etxe baten edo jokalari baten fondoa diru-joko batzuetan	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	none
banku		joko-etxe baten edo jokalari baten fondoa diru-joko batzuetan	banketxea	none
banku		joko-etxe baten edo jokalari baten fondoa diru-joko batzuetan	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		joko-etxe baten edo jokalari baten fondoa diru-joko batzuetan	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	none
banku		muino edo meta luze bat	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	none
banku		muino edo meta luze bat	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	none
banku		muino edo meta luze bat	banketxea	none
banku		muino edo meta luze bat	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		muino edo meta luze bat	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	none
banku		bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	none
banku		bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	exact
banku		bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	banketxea	none
banku		bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	none
banku		eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	exact
banku		eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	none
banku		eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	banketxea	none
banku		eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	none
banku		banketxea	eserleku luzea, bizkarduna nahiz bizkarrik gabea, hainbat lagun batera esertzeko aukera ematen duena	none
banku		banketxea	bezeroen diru-gordailuak onartu eta kreditu-eragiketak burutzen dituen enpresa publiko edo pribatua	none
banku		banketxea	banketxea	exact
banku		banketxea	(Inform.) informazioa era ordenatu eta eskuragarrian gordetzeko egitura konplexua	none
banku		banketxea	(Med.) odola, gorputzeko hainbat organo, esperma eta abar jaso, gorde eta banatzeaz arduratzen den zerbitzu publiko edo pribatua	none
diru		trukerako erabiltzen den baliabiderik arruntena, erabilera legaleko moneta gisa funtzionatzen duena	salgaiak ordaintzeko edota hainbat obligazio kitatzeko gizarteak, oro har, ordainbidetzat onartzen duen guztia	exact
diru		trukerako erabiltzen den baliabiderik arruntena, erabilera legaleko moneta gisa funtzionatzen duena	produktuen prezioa adierazteko erabiltzen den unitatea (txanponetan, billetetan gauzatua), salerosketarako eta trukerako erabilia	none
diru		trukerako erabiltzen den baliabiderik arruntena, erabilera legaleko moneta gisa funtzionatzen duena	txanpona	none
diru		ondasun handia adierazteko hitza	salgaiak ordaintzeko edota hainbat obligazio kitatzeko gizarteak, oro har, ordainbidetzat onartzen duen guztia	none
diru		ondasun handia adierazteko hitza	produktuen prezioa adierazteko erabiltzen den unitatea (txanponetan, billetetan gauzatua), salerosketarako eta trukerako erabilia	none
diru		ondasun handia adierazteko hitza	txanpona	none
diru		produktuen balioa adierazteko herrialde bakoitzak darabilen unitatea	salgaiak ordaintzeko edota hainbat obligazio kitatzeko gizarteak, oro har, ordainbidetzat onartzen duen guztia	none
diru		produktuen balioa adierazteko herrialde bakoitzak darabilen unitatea	produktuen prezioa adierazteko erabiltzen den unitatea (txanponetan, billetetan gauzatua), salerosketarako eta trukerako erabilia	exact
diru		produktuen balioa adierazteko herrialde bakoitzak darabilen unitatea	txanpona	none
diru		trukerako erabiltzen den metalezko pieza (disko-formakoa normalki)	salgaiak ordaintzeko edota hainbat obligazio kitatzeko gizarteak, oro har, ordainbidetzat onartzen duen guztia	none
diru		trukerako erabiltzen den metalezko pieza (disko-formakoa normalki)	produktuen prezioa adierazteko erabiltzen den unitatea (txanponetan, billetetan gauzatua), salerosketarako eta trukerako erabilia	none
diru		trukerako erabiltzen den metalezko pieza (disko-formakoa normalki)	txanpona	exact
eredu		bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duen pertsona edo jarraitu beharko lukeena	zerbait egiteko edo moldatzeko iturburutzat hartzen den edo hartzeko ematen dena; bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duena edo jarraitu beharko lukeena	exact
eredu		bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duen pertsona edo jarraitu beharko lukeena	(Fis.) problema fisiko bat teorikoki eta sinpleki aztertzeko eraikitzen den sistema	none
eredu		bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duen pertsona edo jarraitu beharko lukeena	(Teknol.) galdaketarako moldeak egiteko erabiltzen den forma	none
eredu		jarraitzekoa edo imitatzekoa izan daitekeela uste den egite edo jokaera	zerbait egiteko edo moldatzeko iturburutzat hartzen den edo hartzeko ematen dena; bere nolakotasun bikainengatik nork bere egitekoetan jarraitzen duena edo jarraitu beharko lukeena	exact
eredu		jarraitzekoa edo imitatzekoa izan daitekeela uste den egite edo jokaera	(Fis.) problema fisiko bat teorikoki eta sinpleki aztertzeko eraikitzen den sistema	none
eredu		jarraitzekoa edo imitatzekoa izan daitekeela uste den egite edo jokaera	(Teknol.) galdaketarako moldeak egiteko erabiltzen den forma	none
